time,open,high,low,close,volume
2015-05-18,1.14485,1.14485,1.12979,1.1314,51726
2015-05-19,1.13146,1.13256,1.11184,1.1149,112121
2015-05-20,1.11506,1.11514,1.10616,1.10932,122301
2015-05-21,1.10917,1.11807,1.1078999999999999,1.11113,109322
2015-05-22,1.11113,1.12069,1.10016,1.10141,105137
2015-05-25,1.10052,1.10089,1.09584,1.09769,60698
2015-05-26,1.09764,1.09806,1.08626,1.08723,113774
2015-05-27,1.08718,1.09284,1.08185,1.09034,107899
2015-05-28,1.09035,1.09579,1.08681,1.09473,117478
2015-05-29,1.09471,1.10053,1.09251,1.09895,104414
2015-06-01,1.09835,1.09876,1.08865,1.0925799999999999,118185
2015-06-02,1.09257,1.11927,1.09152,1.11501,189524
2015-06-03,1.11499,1.12843,1.10811,1.12737,102112
2015-06-04,1.12736,1.1379299999999999,1.12219,1.12372,67030
2015-06-05,1.1237,1.12793,1.10489,1.11163,185260
2015-06-08,1.11018,1.13063,1.10837,1.12908,151939
2015-06-09,1.12902,1.13446,1.12136,1.12817,171017
2015-06-10,1.12796,1.13855,1.12599,1.1323,187092
2015-06-11,1.13232,1.13306,1.11816,1.1256599999999999,150647
2015-06-12,1.12567,1.12961,1.11509,1.12621,148197
2015-06-15,1.12133,1.12938,1.11893,1.1282,112556
2015-06-16,1.1283,1.13292,1.12044,1.12467,128956
2015-06-17,1.12467,1.13574,1.12057,1.13365,150512
2015-06-18,1.13365,1.1436,1.13297,1.13595,164081
2015-06-19,1.13575,1.13962,1.12915,1.13483,127247
2015-06-22,1.1374,1.14097,1.1311499999999999,1.13396,132015
2015-06-23,1.13398,1.13469,1.11347,1.11674,155646
2015-06-24,1.11663,1.12344,1.11539,1.12033,143646
2015-06-25,1.12056,1.12273,1.11534,1.12035,122528
2015-06-26,1.12023,1.12194,1.11297,1.11713,118028
2015-06-29,1.10047,1.12776,1.09538,1.1235,193963
2015-06-30,1.12346,1.12437,1.11123,1.11453,156812
2015-07-01,1.1138,1.11708,1.10425,1.10518,135383
2015-07-02,1.10525,1.11209,1.1031900000000001,1.10826,127664
2015-07-03,1.10835,1.11175,1.10643,1.11038,100405
2015-07-06,1.09794,1.1095,1.09688,1.10551,153241
2015-07-07,1.10551,1.10581,1.09158,1.10103,173620
2015-07-08,1.10104,1.10925,1.09734,1.10756,160168
2015-07-09,1.10754,1.11245,1.0991,1.10353,143058
2015-07-10,1.10353,1.12153,1.103,1.11541,157300
2015-07-13,1.10993,1.11963,1.09948,1.10001,148997
2015-07-14,1.10001,1.10808,1.09649,1.10082,143590
2015-07-15,1.10082,1.10349,1.09293,1.09477,142338
2015-07-16,1.09483,1.0962,1.08549,1.0873,142440
2015-07-17,1.08731,1.09063,1.08281,1.08299,118379
2015-07-20,1.08332,1.08695,1.08078,1.08245,115065
2015-07-21,1.08243,1.0969,1.08109,1.09324,148089
2015-07-22,1.09341,1.09662,1.08691,1.09278,201564
2015-07-23,1.09234,1.1018,1.09213,1.09826,167751
2015-07-24,1.098,1.09955,1.09251,1.09762,123864
2015-07-27,1.09759,1.11292,1.09687,1.10866,144811
2015-07-28,1.10871,1.10995,1.10219,1.10592,130748
2015-07-29,1.10588,1.10837,1.09667,1.09821,137573
2015-07-30,1.09809,1.0989,1.08931,1.09313,141300
2015-07-31,1.09304,1.11139,1.09208,1.09831,153941
2015-08-03,1.09711,1.09957,1.0941,1.09503,133189
2015-08-04,1.09493,1.09873,1.08786,1.08809,145962
2015-08-05,1.08783,1.0937000000000001,1.08477,1.09052,146918
2015-08-06,1.09041,1.09433,1.08733,1.09235,130219
2015-08-07,1.09216,1.0977999999999999,1.08548,1.0964,124434
2015-08-10,1.09623,1.10411,1.0925,1.10154,100312
2015-08-11,1.10167,1.1088,1.09602,1.1037,135337
