time,open,high,low,close,volume
2015-05-18,0.91563,0.92644,0.91479,0.92617,37394
2015-05-19,0.92629,0.93841,0.92458,0.93675,79353
2015-05-20,0.93656,0.94052,0.93404,0.93692,93556
2015-05-21,0.93687,0.93817,0.93058,0.9367,84405
2015-05-22,0.93671,0.94563,0.92873,0.94337,78279
2015-05-25,0.94291,0.94564,0.94047,0.94496,43364
2015-05-26,0.945,0.95362,0.94463,0.95319,85152
2015-05-27,0.95325,0.95429,0.94667,0.94936,82269
2015-05-28,0.94938,0.95123,0.94177,0.94367,90126
2015-05-29,0.94346,0.94786,0.93484,0.94012,86475
2015-06-01,0.94021,0.94835,0.93898,0.94592,89853
2015-06-02,0.94585,0.94678,0.93081,0.93308,114937
2015-06-03,0.93277,0.94221,0.93029,0.93375,72624
2015-06-04,0.93373,0.93709,0.92783,0.93358,38029
2015-06-05,0.93342,0.95014,0.92985,0.93904,127863
2015-06-08,0.94095,0.9429,0.9256,0.92736,101878
2015-06-09,0.92721,0.93322,0.9246,0.93051,111238
2015-06-10,0.93041,0.93247,0.92331,0.93117,126603
2015-06-11,0.93115,0.9406,0.92986,0.93306,103865
2015-06-12,0.93281,0.93909,0.92414,0.92862,94737
2015-06-15,0.92967,0.9384,0.92745,0.92922,80006
2015-06-16,0.92939,0.9335,0.92717,0.93212,68998
2015-06-17,0.93206,0.9325,0.9197,0.92178,90620
2015-06-18,0.92161,0.92453,0.91509,0.92125,97953
2015-06-19,0.92128,0.92492,0.9163,0.91806,75281
2015-06-22,0.91684,0.92254,0.91569,0.92141,85078
2015-06-23,0.92133,0.93879,0.92085,0.93373,90160
2015-06-24,0.93379,0.93691,0.92811,0.93358,91971
2015-06-25,0.93354,0.94155,0.93249,0.93636,80137
2015-06-26,0.93637,0.93733,0.93,0.93355,77359
2015-06-29,0.93795,0.94274,0.92433,0.92488,121013
2015-06-30,0.92476,0.93808,0.92456,0.93512,100233
2015-07-01,0.93636,0.94894,0.93418,0.94792,86033
2015-07-02,0.948,0.95039,0.94185,0.94338,102470
2015-07-03,0.94333,0.94413,0.93965,0.93977,79453
2015-07-06,0.94304,0.94717,0.94072,0.94244,109333
2015-07-07,0.94252,0.95152,0.94203,0.94654,112679
2015-07-08,0.94654,0.95094,0.94079,0.94497,113030
2015-07-09,0.94497,0.95149,0.94245,0.94764,103483
2015-07-10,0.94764,0.94892,0.93293,0.93815,107885
2015-07-13,0.94059,0.95028,0.93673,0.95015,95261
2015-07-14,0.95015,0.95316,0.94005,0.94462,94474
2015-07-15,0.94463,0.95468,0.94417,0.9519,90974
2015-07-16,0.9518,0.95833,0.95145,0.95765,98483
2015-07-17,0.95756,0.96184,0.9557,0.96152,85765
2015-07-20,0.96109,0.96481,0.95998,0.96454,83844
2015-07-21,0.9645,0.96483,0.95598,0.95817,143418
2015-07-22,0.95819,0.96319,0.95608,0.95973,197485
2015-07-23,0.9597,0.96024,0.95249,0.95973,109427
2015-07-24,0.95865,0.96353,0.95733,0.96238,79319
2015-07-27,0.96213,0.96325,0.95298,0.96248,85589
2015-07-28,0.96212,0.96739,0.96042,0.96225,76493
2015-07-29,0.96217,0.9689,0.95985,0.9678,81782
2015-07-30,0.96727,0.97188,0.96641,0.96899,84840
2015-07-31,0.96957,0.96957,0.95478,0.96529,100806
2015-08-03,0.96489,0.97021,0.96422,0.9691,89504
2015-08-04,0.96892,0.97893,0.96676,0.97817,104303
2015-08-05,0.97787,0.98213,0.97598,0.97881,103851
2015-08-06,0.97846,0.98471,0.97669,0.98054,87626
2015-08-07,0.98029,0.98832,0.97861,0.98352,73159
2015-08-10,0.98153,0.98905,0.98028,0.98305,60542
2015-08-11,0.98338,0.99026,0.98012,0.9875,74927
2015-08-12,0.98744,0.98898,0.96767,0.97467,78190
2015-08-13,0.97514,0.97934,0.97292,0.97562,63121
