time,open,high,low,close,volume
2015-05-18,119.269,120.028,119.252,119.973,36917
2015-05-19,119.966,120.73,119.825,120.685,78619
2015-05-20,120.675,121.466,120.575,121.32,89207
2015-05-21,121.306,121.372,120.84,121.02,83377
2015-05-22,121.031,121.565,120.634,121.543,76254
2015-05-25,121.485,121.769,121.439,121.548,45357
2015-05-26,121.553,123.315,121.495,123.081,92785
2015-05-27,123.058,124.062,122.77,123.641,94204
2015-05-28,123.616,124.448,123.487,123.946,100086
2015-05-29,123.937,124.176,123.6,124.112,90015
2015-06-01,124.096,124.909,123.852,124.763,91070
2015-06-02,124.761,125.046,123.747,124.1,159437
2015-06-03,124.083,124.678,123.784,124.24,81313
2015-06-04,124.242,124.679,123.777,124.348,53888
2015-06-05,124.348,125.853,124.336,125.57,124309
2015-06-08,125.586,125.675,124.291,124.471,117844
2015-06-09,124.475,124.734,123.858,124.33,127375
2015-06-10,124.322,124.617,122.456,122.651,163683
2015-06-11,122.618,124.116,122.617,123.406,128916
2015-06-12,123.405,123.813,123.127,123.417,144502
2015-06-15,123.163,123.657,123.141,123.403,82930
2015-06-16,123.394,123.798,123.287,123.351,85175
2015-06-17,123.348,124.435,123.207,123.416,108965
2015-06-18,123.414,123.608,122.471,122.948,126222
2015-06-19,122.944,123.213,122.555,122.674,95503
2015-06-22,122.927,123.415,122.556,123.349,96238
2015-06-23,123.346,124.18,123.337,123.934,96856
2015-06-24,123.929,124.372,123.712,123.831,105195
2015-06-25,123.835,123.952,123.315,123.617,96345
2015-06-26,123.618,123.984,123.22,123.837,92636
2015-06-29,122.741,123.187,122.099,122.525,157416
2015-06-30,122.53,122.72,121.935,122.487,130682
2015-07-01,122.483,123.232,122.352,123.163,105112
2015-07-02,123.154,123.719,122.952,123.044,107165
2015-07-03,123.049,123.179,122.597,122.87,80623
2015-07-06,121.985,122.926,121.841,122.561,144764
2015-07-07,122.56,122.88,122.002,122.521,144701
2015-07-08,122.517,122.561,120.408,120.695,189780
2015-07-09,120.695,121.573,120.456,121.323,150174
2015-07-10,121.321,122.876,121.272,122.751,142987
2015-07-13,122.305,123.53,122.305,123.414,126331
2015-07-14,123.416,123.728,122.912,123.381,107618
2015-07-15,123.38,123.966,123.256,123.751,114377
2015-07-16,123.749,124.173,123.718,124.14,111574
2015-07-17,124.141,124.227,123.911,124.047,86621
2015-07-20,124.029,124.37,124.023,124.275,48911
2015-07-21,124.268,124.471,123.757,123.86,111358
2015-07-22,123.847,124.145,123.566,123.94,103851
2015-07-23,123.947,124.184,123.671,123.885,131496
2015-07-24,123.851,124.092,123.593,123.821,116881
2015-07-27,123.753,123.833,123.006,123.235,131486
2015-07-28,123.233,123.79,123.072,123.543,131434
2015-07-29,123.548,124.022,123.328,123.935,132138
2015-07-30,123.902,124.577,123.865,124.134,130563
2015-07-31,124.119,124.371,123.516,123.85,145026
2015-08-03,123.866,124.267,123.852,124.026,121611
2015-08-04,124.017,124.398,123.797,124.371,134861
2015-08-05,124.372,125.009,124.014,124.842,134314
2015-08-06,124.836,124.959,124.538,124.722,120016
2015-08-07,124.708,125.064,124.1,124.203,102148
2015-08-10,124.145,124.779,124.145,124.601,71168
2015-08-11,124.607,125.203,124.516,125.035,109222
2015-08-12,125.096,125.276,123.788,124.124,125095
2015-08-13,124.184,124.624,124.064,124.378,94031
2015-08-14,124.396,124.53,124.052,124.313,90929
2015-08-17,124.213,124.571,124.17,124.356,97686
2015-08-18,124.356,124.511,124.177,124.37,108938
2015-08-19,124.372,124.466,123.685,123.69,135892
2015-08-20,123.758,124.153,123.326,123.375,142105
2015-08-21,123.38,123.493,121.811,122.049,184992
2015-08-24,121.863,122.021,116.131,118.345,270643
2015-08-25,118.364,120.393,118.246,118.843,271247
2015-08-26,118.828,120.01,118.446,119.827,250078
2015-08-27,119.868,121.394,119.788,120.992,209596
2015-08-28,120.992,121.741,120.648,121.712,170291
2015-08-31,121.635,121.635,120.878,121.215,126268
2015-09-01,121.191,121.262,119.249,119.359,205599
2015-09-02,119.329,120.462,119.215,120.32,183059
2015-09-03,120.318,120.694,119.637,120.046,162052
2015-09-04,120.057,120.183,118.591,119.017,182046
2015-09-07,118.892,119.585,118.795,119.26,124514
2015-09-08,119.229,120.223,118.849,119.798,167014
2015-09-09,119.774,121.193,119.769,120.515,203085
2015-09-10,120.448,121.326,119.973,120.603,208745
2015-09-11,120.587,120.964,120.358,120.568,156580
2015-09-14,120.49,120.839,119.849,120.191,151059
